Stream,Impervious_Area_Percent,Decomp_Rate
CC,58.02,0.00654
VEN,48.5,0.0118052
HP,12.9,0.038998
MON,38.2,0.021388
LL,65.94,0.012709
MAT,77.15,0.0086022
