Stream,Decomp_Rate,SE
CC,0.00654,0.001107
VEN,0.0118052,0.0006771
HP,0.038998,0.004712
MONT,0.021388,0.001625
LL,0.012709,0.001194
MAT,0.0086022,0.0007683
